Altitude ,density 
30.551,1.222
28.034,1.222
25.517,1.222
23,1.222
20.484,1.223
17.969,1.223
15.454,1.223
12.94,1.224
10.426,1.224
7.913,1.224
5.401,1.224
2.889,1.225
0,1.225
